track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
618,301,3,2022,5,13,2308,0,76831876,7,0,7,0,0.0,138,,Minor,57,71,82,19,0,15,29
840,43,1,2022,5,6,1004,1,283332261,8,12,9,0,0.0,188,,Minor,50,41,50,69,0,12,6
834,460,2,2022,2,14,1367,0,307752576,48,4,34,1,0.0,110,,Major,80,26,85,23,0,11,21
243,43,1,2022,5,6,1112,3,279737940,7,25,12,0,0.0,105,,Major,81,77,79,19,0,47,8
229,43,1,2022,5,6,1209,0,212351890,9,7,14,0,1.0,118,,Major,63,60,70,5,0,9,31
128,48,2,2019,5,31,9539,15,1304313953,162,116,355,7,0.0,176,,Major,61,24,62,60,0,24,31
224,244,1,2022,5,6,1992,0,150500965,35,0,3,0,0.0,158,,Major,83,41,65,0,10,11,8
30,43,1,2022,5,6,897,0,246127838,6,20,8,0,0.0,115,,Minor,85,72,58,9,0,49,12
333,444,1,2016,1,15,2948,0,582863434,10,2,150,0,0.0,110,,Minor,51,48,82,0,0,5,3
518,306,2,2022,5,13,1860,0,58687425,1,0,3,0,0.0,174,,Major,73,26,54,30,0,34,32
793,442,2,2022,4,29,802,0,212109195,16,81,23,0,0.0,130,,Major,91,91,96,3,0,3,9
365,56,1,2022,4,29,2224,8,382199619,48,40,87,1,210.0,78,,Major,36,30,54,34,0,14,5
638,296,1,2022,5,13,1103,0,41210087,0,0,0,0,0.0,104,,Major,44,74,42,88,0,9,9
664,403,1,2022,5,13,2265,0,231657891,93,12,173,11,3.0,121,,Major,64,80,88,0,0,12,6
743,275,1,2022,3,10,555,0,53729194,10,4,4,0,0.0,105,,Major,83,32,82,14,0,12,4
819,565,1,2022,4,22,2050,0,244741137,52,9,46,0,1.0,81,,Major,38,20,66,9,0,9,8
169,296,1,2022,5,13,1493,0,42485571,2,0,10,0,0.0,170,,Minor,37,14,24,80,0,11,4
64,296,1,2022,5,13,1545,0,37778188,1,0,4,0,0.0,78,,Major,43,60,38,76,1,48,38
578,199,1,2022,4,29,2350,0,254218729,28,42,23,0,0.0,125,,Major,88,28,66,6,0,13,31
501,296,1,2022,5,13,1929,0,53603447,2,0,4,0,0.0,92,,Minor,66,29,65,23,0,8,7
82,348,1,2022,4,22,710,4,160035717,16,11,18,0,0.0,140,,Minor,84,61,42,31,0,9,9
584,63,2,2022,4,25,928,0,164163229,19,0,7,0,0.0,96,,Major,61,32,90,25,0,10,9
674,296,1,2022,5,13,1194,0,37091576,0,0,3,0,0.0,118,,Minor,66,83,43,84,0,19,19
582,519,2,2022,2,6,349,6,284249832,10,22,3,0,0.0,92,,Minor,71,67,60,7,0,6,4
